Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 86.55MB / 200.00MB - /Users/kasperissim0/Library/Containers/com.apple.mediaanalysisd/Data/Library/Caches
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 137.44MB / 200.00MB - /Users/kasperissim0/Library/Caches/BraveSoftware/Brave-Browser/Default/Code Cache
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 125.62MB / 200.00MB - /Users/kasperissim0/Library/Application Support/Code/Crashpad/completed
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 0B / 150.00MB - /Users/kasperissim0/Library/Group Containers/6N38VWS5BX.ru.keepcoder.Telegram/appstore
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 0B / 150.00MB - /Users/kasperissim0/Library/Application Support/Code/CachedExtensionVSIXs
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 5.21MB / 150.00MB - /Users/kasperissim0/Library/HTTPStorages
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 128.74MB / 150.00MB - /Users/kasperissim0/Library/Biome
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 55.42MB / 100.00MB - /Users/kasperissim0/Library/Metadata/CoreSpotlight/NSFileProtectionCompleteUntilFirstUserAuthentication/index.spotlightV3
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 86.49MB / 100.00MB - /Volumes/Macintosh HD/private/var/folders/g4/9b2zcttx25q2c55blvwqrf780000gn/C/clang/ModuleCache
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 83.14MB / 100.00MB - /Users/kasperissim0/Library/Application Support/obsidian/Service Worker/CacheStorage
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 76.23MB / 100.00MB - /Users/kasperissim0/Library/Containers/com.apple.iBooksX/Data/Library/Caches
Sat Jan  3 20:31:38 CET 2026: │  ✓ OK: 0B / 100.00MB - /Users/kasperissim0/Library/Caches/vscode-cpptools
